report_schema_version,analysis_schema_version,analysis_mode,study_signature,profile,analysis_tier,family_name,multiplicity_method,family_size,tested_family_size,pair_type,channel,baseline_condition,baseline_channel,treatment_condition,treatment_channel,endpoint,n_pairs,baseline_positive,treatment_positive,baseline_prevalence,treatment_prevalence,baseline_prevalence_pct,treatment_prevalence_pct,risk_difference,risk_difference_pp,bootstrap_ci_low,bootstrap_ci_high,bootstrap_ci_low_pp,bootstrap_ci_high_pp,treatment_only_positive,baseline_only_positive,discordant_pairs,mcnemar_exact_p,holm_adjusted_p,alpha,unadjusted_reject,adjusted_reject,bootstrap_replicates,bootstrap_seed
1.0,2.7,resource,857af292f805a4c3,claude,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,broad_repo_search_any,67,67,66,1.0,0.9850746268656716,100.0,98.50746268656717,-0.014925373134328358,-1.4925373134328357,-0.04477611940298507,0.0,-4.477611940298507,0.0,0,1,1,1.0,1.0,0.05,0,0,10000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,test_inspection_any,67,60,57,0.8955223880597015,0.8507462686567164,89.55223880597015,85.07462686567165,-0.04477611940298507,-4.477611940298507,-0.11940298507462686,0.029850746268656716,-11.940298507462686,2.9850746268656714,2,5,7,0.453125,1.0,0.05,0,0,10000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,validation_any,67,42,39,0.6268656716417911,0.582089552238806,62.68656716417911,58.2089552238806,-0.04477611940298507,-4.477611940298507,-0.13432835820895522,0.04477611940298507,-13.432835820895523,4.477611940298507,3,6,9,0.5078125,1.0,0.05,0,0,10000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,iterative_repair_any,67,9,8,0.13432835820895522,0.11940298507462686,13.432835820895523,11.940298507462686,-0.014925373134328358,-1.4925373134328357,-0.08955223880597014,0.05970149253731343,-8.955223880597014,5.970149253731343,3,4,7,1.0,1.0,0.05,0,0,10000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,provenance_related_inspection_any,67,32,22,0.47761194029850745,0.3283582089552239,47.76119402985074,32.83582089552239,-0.14925373134328357,-14.925373134328357,-0.29850746268656714,0.0,-29.850746268656714,0.0,8,18,26,0.07551869750022888,0.5286308825016022,0.05,0,0,10000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,external_lookup_any,67,26,26,0.3880597014925373,0.3880597014925373,38.80597014925373,38.80597014925373,0.0,0.0,-0.07462686567164178,0.07462686567164178,-7.462686567164178,7.462686567164178,3,3,6,1.0,1.0,0.05,0,0,10000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,integrity_sensitive_action_any,67,1,1,0.014925373134328358,0.014925373134328358,1.4925373134328357,1.4925373134328357,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,0.05,0,0,10000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,broad_repo_search_any,70,69,67,0.9857142857142858,0.9571428571428572,98.57142857142858,95.71428571428572,-0.02857142857142857,-2.857142857142857,-0.08571428571428572,0.02857142857142857,-8.571428571428571,2.857142857142857,1,3,4,0.625,1.0,0.05,0,0,10000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,test_inspection_any,70,53,28,0.7571428571428571,0.4,75.71428571428571,40.0,-0.35714285714285715,-35.714285714285715,-0.4857142857142857,-0.21428571428571427,-48.57142857142857,-21.428571428571427,4,29,33,1.0928604751825333e-05,6.5571628510952e-05,0.05,1,1,10000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,validation_any,70,34,18,0.4857142857142857,0.2571428571428571,48.57142857142857,25.71428571428571,-0.22857142857142856,-22.857142857142858,-0.35714285714285715,-0.1,-35.714285714285715,-10.0,5,21,26,0.002493917942047119,0.009975671768188477,0.05,1,1,10000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,iterative_repair_any,70,8,7,0.11428571428571428,0.1,11.428571428571429,10.0,-0.014285714285714285,-1.4285714285714286,-0.11428571428571428,0.08571428571428572,-11.428571428571429,8.571428571428571,6,7,13,1.0,1.0,0.05,0,0,10000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,primary_binary,resource_primary_binary_holm,holm,7,7,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,provenance_related_inspection_any,70,67,38,0.9571428571428572,0.5428571428571428,95.71428571428572,54.285714285714285,-0.4142857142857143,-41.42857142857143,-0.5428571428571428,-0.2857142857142857,-54.285714285714285,-28.57142857142857,2,31,33,1.3085082173347473e-07,9.159557521343231e-07,0.05,1,1,10000,20260824
