report_schema_version,analysis_schema_version,analysis_mode,study_signature,profile,analysis_tier,family_name,multiplicity_method,family_size,tested_family_size,pair_type,channel,baseline_condition,baseline_channel,treatment_condition,treatment_channel,metric,metric_class,planned_pairs,pair_usable_pairs,n_pairs,endpoint_missing_pairs,baseline_mean,treatment_mean,baseline_median,treatment_median,mean_delta,median_delta,bootstrap_ci_low,bootstrap_ci_high,increased,unchanged,decreased,increased_fraction,unchanged_fraction,decreased_fraction,mean_log1p_delta,median_log1p_delta,sign_flip_p,bh_adjusted_q,alpha,unadjusted_reject,adjusted_reject,bootstrap_replicates,bootstrap_seed,sign_flip_replicates,sign_flip_seed
1.0,2.7,resource,857af292f805a4c3,claude,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,repo_search_calls,action_intensity,70,67,67,0,13.447761194029852,12.656716417910447,11.0,10.0,-0.7910447761194029,0.0,-2.388059701492537,0.9854477611940243,24,12,31,0.3582089552238806,0.1791044776119403,0.4626865671641791,,,0.3914060859391406,0.6327871958414714,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,file_read_calls,action_intensity,70,67,67,0,21.223880597014926,19.850746268656717,18.0,15.0,-1.373134328358209,-1.0,-4.134328358208955,1.507462686567164,27,5,35,0.40298507462686567,0.07462686567164178,0.5223880597014925,,,0.36583634163658363,0.6327871958414714,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,unique_files_read,action_intensity,70,67,67,0,7.791044776119403,7.417910447761194,5.0,6.0,-0.373134328358209,0.0,-1.2985074626865671,0.6716417910447763,20,22,25,0.29850746268656714,0.3283582089552239,0.373134328358209,,,0.5020549794502055,0.6792508545502781,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,unique_dirs_read,action_intensity,70,67,67,0,4.149253731343284,3.8656716417910446,3.0,3.0,-0.2835820895522388,0.0,-0.7164179104477612,0.16417910447761194,15,31,21,0.22388059701492538,0.4626865671641791,0.31343283582089554,,,0.24264757352426475,0.6327871958414714,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,test_files_inspected,action_intensity,70,67,67,0,2.746268656716418,2.611940298507463,2.0,2.0,-0.13432835820895522,0.0,-0.582089552238806,0.31343283582089554,20,22,25,0.29850746268656714,0.3283582089552239,0.373134328358209,,,0.6048939510604894,0.6956280437195628,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,spec_config_files_inspected,action_intensity,70,67,67,0,1.164179104477612,1.0149253731343284,0.0,0.0,-0.14925373134328357,0.0,-0.5671641791044776,0.2835820895522388,11,40,16,0.16417910447761194,0.5970149253731343,0.23880597014925373,,,0.5493445065549345,0.6890899256656045,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,edit_calls,action_intensity,70,67,67,0,13.940298507462687,13.238805970149254,11.0,10.0,-0.7014925373134329,0.0,-2.2238805970149254,0.7164179104477612,19,26,22,0.2835820895522388,0.3880597014925373,0.3283582089552239,,,0.3776262237377626,0.6327871958414714,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,unique_files_modified,action_intensity,70,67,67,0,18.223880597014926,18.104477611940297,5.0,5.0,-0.11940298507462686,0.0,-0.4626865671641791,0.22388059701492538,8,48,11,0.11940298507462686,0.7164179104477612,0.16417910447761194,,,0.5692481994628906,0.6890899256656045,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,validation_calls,action_intensity,70,67,67,0,1.9402985074626866,1.7313432835820894,1.0,1.0,-0.208955223880597,0.0,-0.5671641791044776,0.13432835820895522,17,30,20,0.2537313432835821,0.44776119402985076,0.29850746268656714,,,0.2877271227287727,0.6327871958414714,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,post_edit_validation_calls,action_intensity,70,67,67,0,1.9104477611940298,1.7014925373134329,1.0,1.0,-0.208955223880597,0.0,-0.5522388059701493,0.11940298507462686,17,29,21,0.2537313432835821,0.43283582089552236,0.31343283582089554,,,0.2715372846271537,0.6327871958414714,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,edit_validation_cycles,action_intensity,70,67,67,0,0.23880597014925373,0.23880597014925373,0.0,0.0,0.0,0.0,-0.11940298507462686,0.11940298507462686,6,57,4,0.08955223880597014,0.8507462686567164,0.05970149253731343,,,1.0,1.0,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,failed_validation_then_edit_cycles,action_intensity,70,67,67,0,0.014925373134328358,0.014925373134328358,0.0,0.0,0.0,0.0,-0.04477611940298507,0.04477611940298507,1,65,1,0.014925373134328358,0.9701492537313433,0.014925373134328358,,,1.0,1.0,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,instruction_file_inspections,action_intensity,70,67,67,0,0.029850746268656716,0.0,0.0,0.0,-0.029850746268656716,0.0,-0.07462686567164178,0.0,0,65,2,0.0,0.9701492537313433,0.029850746268656716,,,0.5,0.6792508545502781,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,git_history_inspections,action_intensity,70,67,67,0,0.6567164179104478,0.4626865671641791,0.0,0.0,-0.19402985074626866,0.0,-0.4925373134328358,0.07462686567164178,11,36,20,0.16417910447761194,0.5373134328358209,0.29850746268656714,,,0.22995770042299576,0.6327871958414714,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,external_lookup_calls,action_intensity,70,67,67,0,2.2238805970149254,1.9253731343283582,0.0,0.0,-0.29850746268656714,0.0,-0.9850746268656716,0.2835820895522388,9,47,11,0.13432835820895522,0.7014925373134329,0.16417910447761194,,,0.4126873016357422,0.6327871958414714,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,subagent_delegation_calls,action_intensity,70,67,67,0,0.13432835820895522,0.029850746268656716,0.0,0.0,-0.1044776119402985,0.0,-0.29850746268656714,0.014925373134328358,1,63,3,0.014925373134328358,0.9402985074626866,0.04477611940298507,,,0.375,0.6327871958414714,0.05,0,0,10000,20260824,100000,20260824
